id,imię,nazwisko,płeć,PESEL,miasto,adres,karta_lojalnościowa,telefon,email
71,Hanna,Gajos,K,03282103997,Poznań,ul. Osiedle Jagiellońskie 53/2,False,48954816291,han-gajo@wp.pl
72,Elżbieta,Wojtanek,K,04272310553,Szczecin,ul. Elizy Orzeszkowej 74,True,48610959977,ewojtanek04@o2.pl
73,Elżbieta,Kuśnierz,K,,Wrocław,ul. Poziomkowa 94,False,48398740423,kusnierz57911@wp.pl
74,Tomasz,Galus,M,98022091371,Strzelce Opolskie,ul. Cicha 60/34,False,48567738553,t.galu1010@wp.pl
75,Henryk,Chojnacki,M,09251105135,Wrocław,ul. Świerkowa 22/50,False,48146919322,h.chojnacki@outlook.com
76,Bartosz,Sieracki,M,00241723854,Wrocław,ul. Jodłowa 56/32,True,48538330032,bsieracki@gmail.com
77,Piotr,Andryszewski,M,81011347832,Wrocław,ul. Dębowa 28,False,48323202230,pio.andrysze81@onet.pl
78,Jacek,Grzesiński,M,00213086493,Wrocław,ul. Urbanistów 14,False,48683837897,jgrzesinski00@protonmail.com
79,Viktoriia,Molińska,K,,Wrocław,ul. Gdyńska 16/19,False,48289098671,vik-molinsk@onet.pl
80,Anna,Walachowska,K,02281903553,Wrocław,ul. Lotnicza 58/40,False,48690701517,walachowska8@gmail.com
81,Iga,Przywarta,K,83101594377,Wrocław,ul. Zachodnia 69/12,False,48162625877,iprzywa@o2.pl
82,Piotr,Brzezawski,M,82022203652,Kielce,ul. ZHP 75/9,False,48685831625,p.brzeza3181@wp.pl
83,Wiesława,Kruszyńska,K,98082978852,Żmigród,ul. ks. bp. Ignacego Krasickiego 57/35,False,48469199591,w.kruszynska98@wp.pl
84,Marcin,Gurdziel,M,,Police,ul. Józefa Piłsudskiego 61/24,False,48873919868,gurdziemarcin@gmail.com
85,Iwona,Krzaczek,K,75053022510,Grudziądz,ul. Maxa Berga 67,False,48978431764,iwo_krzacze@o2.pl
86,Aron,Mazuchowski,M,90061993016,Wrocław,ul. Mikołaja Kopernika 4/25,True,48632800193,gyu6087s8qbom@gmail.com
87,Paweł,Dudek,M,01271649590,Opole,ul. Targowa 12/7,True,48172748252,paw.dude01@gmail.com
88,Mirosława,Adamczyk,K,88031341257,Końskie,ul. Biskupa Teodora Kubiny 79/9,False,48029661263,adamczyk6@o2.pl
89,Nela,Tchórzewska,K,76071633555,Łomża,ul. Leśna 37/50,True,48656390524,tchorze.nela@onet.pl
90,Paweł,Majewski,M,97062926696,Wrocław,ul. Krótka 8/9,False,48375441087,p_majewski7634@onet.pl
91,Aleksandra,Sagała,K,77012353192,Szamotuły,ul. Dolina Jamny 88/24,False,48679743841,ale-sagal9191@interia.pl
92,Edyta,Ranosz,K,97013185110,Wrocław,ul. Pogodna 11/38,False,48834892069,eranos@gmail.com
93,Rafał,Wołoszyn,M,06221168132,Nowy Targ,ul. Wrzosowa 96,True,48263487823,r-woloszy@gmail.com
94,Mirosław,Brodziszewski,M,78100199692,Tułowice,ul. Północna 97,False,48065919581,b_miroslaw1978@outlook.com
95,Maria,Głowacka,K,77011282439,Kraków,ul. Wiosenna 26/14,False,48656445833,glowacka19772@wp.pl
96,Jolanta,Dukhina,K,92042618956,Wrocław,ul. Malinowa 61,False,48826740315,jdukhina@gmail.com
97,Danuta,Wasilewska,K,87122991517,Wrocław,ul. Zielona 15,False,48781278999,d-wasil4644@wp.pl
98,Grzegorz,Pasternak,M,86052987070,Wrocław,ul. Generała Władysława Andersa 32/30,False,48276189286,g.pastern86@onet.pl
99,Klaudia,Ciołek,K,82013195072,Dąbrowa Górnicza,ul. Jaworowa 19/18,False,48242508252,ciole.k1982@gmail.com
100,Anna,Sukhenko,K,05280893739,Skarżysko-Kamienna,ul. Piotrusia Pana 73/7,False,48354929914,sukhenkan@gmail.com
101,Jakub,Kim,M,74021698276,Wrocław,ul. 3 Maja 46,False,48026357745,ki-ja9847@gmail.com
102,Monika,Schalkowska,K,78011256097,Kalisz,ul. Wypoczynkowa 98/37,False,48010649811,d88rvw80ur0@opayq.com
103,Anna,Jeżowska,K,83011127416,Wejherowo,ul. Orki 97/33,False,48032947088,jezowska7@gmail.com
104,Marian,Gregorczyk,M,88071978112,Wrocław,ul. Poranna 15/24,True,48918150409,v7rru1a@opayq.com
105,Filip,Biały,M,09222577712,Wrocław,ul. Lipowa 1,False,48232049103,f-bia2009@int.pl
106,Magdalena,Koślik,K,83051994919,Wrocław,ul. Leśna 24/5,False,48485771356,mag_kosl2361@gazeta.pl
107,Lech,Borsuk,M,85091165791,Pionki,ul. Wojska Polskiego 55/15,False,48100930898,lec-borsu@gmail.com
108,Szymon,Rosiak,M,85030552750,Wrocław,ul. Krakowska 26/5,False,48851347256,rosia.szym@interia.pl
109,Arkadiusz,Żurek,M,01280291010,Wrocław,ul. Ochla-Bukowa 87/2,False,48586845783,a.zure6081@interia.pl
110,Magdalena,Świder,K,98020462113,Radzionków,ul. Myśliwska 83/16,False,48748832780,swider986@gmail.com
111,Amandeep,Rerek,K,87100573959,Mosina,ul. Żwirowa 70/19,False,48971004216,ama-rere@wp.pl
112,Stefan,Chmiel,M,92041817059,Dzierżoniów,pl. Wolności 23/26,True,48885969486,s.chmiel@wp.pl
113,Elżbieta,Denys,K,94031182318,Kielce,ul. Rajska 51/40,True,48750214550,e-denys@outlook.com
114,Franciszek,Miler,M,93071530613,Wrocław,ul. Parkowa 32/29,True,48852754872,mile@gmail.com
115,Kacper,Piędel,M,89012929873,Krapkowice,ul. Łączna 48,False,48417394138,kpiedel89@wp.pl
116,Daniel,Patora,M,76091487910,Katowice,ul. Lubelska 69/29,False,48897487307,patora3@onet.pl
117,Natalia,Kamińska,K,98011516636,Kościan,ul. Truskawkowa 28/3,False,48609494708,n_kaminska@gmail.com
118,Zuzanna,Mamontova,K,76110741971,Opole,ul. dr. Zdzisława Mierzyńskiego 89/45,False,48083817137,mamontova13183@onet.pl
119,Hanna,Migdał,K,,Opole,ul. Czerwonego Kapturka 23/31,False,48028424671,han_mi5950@wp.pl
120,Andrzej,Wołoch,M,71062560779,Wrocław,ul. Stadionowa 37,False,48702734696,a_woloch@onet.pl
121,Szymon,Skowyra,M,80082175612,Wrocław,ul. Widokowa 85/30,False,48368549811,s.skowyr@wp.pl
122,Andrii,Kubas,M,93022204598,Pabianice,ul. Cmentarna 5,False,48604533170,ms62mhy@opayq.com
123,Svitlana,Goś,K,73030640650,Wrocław,ul. Świtezianki 93/40,False,48696103197,s_g73@wp.pl
124,Mariola,Barańska,K,82020265852,Wrocław,ul. Marcinkowicka 64,True,48864776360,bar_mariola1982@gmail.com
125,Agnieszka,Witkowska,K,73080784290,Wrocław,"ul. Batalionu AK ""Parasol"" 52",False,48002343932,agn.witk@vp.pl
126,Andrzej,Jarosik,M,82061943719,Barczewo,ul. Podmiejska 23,False,48379291280,jaand@onet.pl
127,Kacper,Krawczyk,M,93061361236,Kostrzyn nad Odrą,ul. Chmielna 90/15,False,48856763640,k.krawczyk1993@gmail.com
128,Iwona,Kwiatkowska,K,80120908275,Zielona Góra,ul. Nad Jeziorem 24/26,False,48918267286,i-kw1980@onet.pl
129,Antonina,Mieszczak,K,83061437552,Wrocław,ul. Kazimierza Wielkiego 69,True,48517097790,ho3jhf2w3y@opayq.com
130,Urszula,Wawruszko,K,70081218678,Nowy Staw,ul. Willowa 29,False,48098840873,wawruszko27716@vp.pl
131,Danuta,Gorzawska,K,07310738074,Wrocław,ul. Jabłkowa 25/29,False,48549533938,go_dan07@gmail.com
132,Monika,Waszczuk,K,75072970137,Chojna,ul. Słoneczna 13,False,48212632287,mon.waszczu@o2.pl
133,Piotr,Pomorski,M,86052569832,Wrocław,ul. Sekundowa 7,False,48257487515,p-pomorsk86@vp.pl
134,Piotr,Liebiediev,M,08281996616,Koszalin,ul. Świdnicka 92/19,False,48959085924,pio.li2008@wp.pl
135,Kamil,Mieczkowski,M,92040188879,Wałbrzych,pl. świętej Rozalii 9/13,True,48791467459,k.mieczkows@o2.pl
136,Krystyna,Sobczak,K,85100584874,Wrocław,ul. św. Piotra 33/45,False,48376185289,kry_sobcz@gmail.com
137,Michał,Witek,M,85012576176,Bydgoszcz,ul. Bukowa 84,True,48715803663,b01m5je22zexkw9@opayq.com
138,Wioletta,Siedlęczka,K,08250932674,Wrocław,ul. Wiśniowy Sad 96/43,False,48867442938,w.sie@o2.pl
139,Marcin,Małecki,M,87010681375,Wrocław,ul. Fregaty 4,True,48541860930,rnxlf1651@wp.pl
140,Maria,Haraburda,K,05232846433,Wrocław,ul. Ziołowa 59/13,False,48032292533,harmaria2005@gmail.com
141,Piotr,Finaiev,M,86061500875,Ostrów Wielkopolski,ul. Łąkowa 51/38,True,48984995610,pio_finaie1986@o2.pl
142,Michał,Mrozowski,M,10220968310,Wrocław,ul. Górna 72/36,False,48010826946,mrozowski4077@onet.pl
143,Czesław,Kiedrowicz,M,73110888716,Nowy Sącz,ul. Myśliwska 84,False,48560066350,i4vkwf22rp35g8237@gazeta.pl
144,Łukasz,Dąbrowski,M,99021617991,Wrocław,ul. Jana Chryzostoma Paska 30/23,True,48626433647,ldabrowski@wp.pl
145,Franciszek,Buroń,M,92050612137,Końskie,ul. Polna 46/35,False,48351358721,wqph8inyoh@o2.pl
146,Beata,Dul,K,88071279459,Wrocław,ul. Fabryczna 13/1,False,48498319440,m1c1930k77rmk4c@opayq.com
147,Krzysztof,Politowski,M,98013090194,Wrocław,ul. Polarna 65,False,48622337134,politowski93413@onet.pl
148,Adrianna,Michałowicz,K,96090318172,Skierniewice,ul. Pogodna 84,False,48893470983,adrmic1996@protonmail.com
149,Cecylia,Kotwica,K,72020522934,Gdynia,ul. Europejska 38/26,False,48918834382,r2x613389s6z9@opayq.com
150,Krystyna,Gumieniak,K,84080331474,Wrocław,ul. Brzyszczki 17/14,False,48096001669,k_gumieniak1984@wp.pl
151,Katarzyna,Ayad,K,76072850391,Bielsko-Biała,ul. Paderewskiego 56/37,False,48809078225,ayad19764@gmail.com
152,Anna,Ciupik,K,90021877075,Kłobuck,ul. Jesionowa 29,False,48373085940,ann-ciupi@gmail.com
153,Katarzyna,Maciejewska,K,03230273053,Nysa,ul. Aroniowa 85/40,False,48302835317,kat_macie03@interia.pl
154,Aleksandra,Baran,K,08251008516,Wrocław,ul. Fordońska 9/6,True,48545117283,siaui7t28@opayq.com
155,Jerzy,Szukała,M,74031930050,Wrocław,ul. Parowa 96/2,False,48027058910,j.szukal74@gmail.com
156,Ewa,Milewska,K,87122555412,Wrocław,ul. Michała Wołodyjowskiego 36/8,False,48979264087,milewska0@gmail.com
157,Jan,Mydło,M,77081557655,Bolesławiec,ul. Miętowa 25/2,False,48157435279,j.mydl9038@gazeta.pl
158,Adam,Nowak,M,88010938450,Lubin,ul. Słoneczna 98/7,False,48186683214,nowak46090@gmail.com
159,Philip,Kindlarski,M,71062641474,Wrocław,ul. Józefa Piłsudskiego 78/19,False,48699872360,z67pir382i950@opayq.com
160,Klaudia,Harabasz,K,75032365270,Konin,ul. ks. Jana Twardowskiego 44,False,48204772783,klaharaba@gmail.com
161,Kamil,Minz,M,89051741377,Gorzów Wielkopolski,ul. Opatowska 12,False,48386446073,kam.min@wp.pl
162,Paweł,Holub,M,89081943772,Skierniewice,ul. Generała broni Tadeusza Buka 71/36,False,48587148921,holub19892@wp.pl
163,Kacper,Muchlewicz,M,77031060316,Wrocław,ul. Modrzewiowa 45,True,48886500874,k.muc@vp.pl
164,Iwona,Zwolińska,K,88030114135,Gubin,ul. Ptasia 78/18,False,48081364550,zwolinsk_iwona@wp.pl
165,Kazimierz,Rybak,M,83010298010,Ostrołęka,ul. Wierzbowa 95,False,48139261985,k.rybak@vp.pl
166,Renata,Gosławska-Dudziak,K,79081977059,Wrocław,ul. Spacerowa 27,False,48566884347,r_gosla@interia.pl
167,Piotr,Ciwiński,M,06232569759,Wrocław,ul. Włoska 54/42,False,48149046419,pio.ciwi@gmail.com
168,Beata,Pijanowska,K,70072684312,Jasień,ul. Usługowa 1/2,False,48657975182,pijanowska19704@onet.pl
169,Aniela,Golczyk,K,79050927915,Wrocław,ul. Półwiejska 57,True,48892776080,a-go@wp.pl
170,Łukasz,Ramuś,M,82090176573,Wrocław,ul. Klonowa 98/43,False,48712647511,ramus19827@gmail.com
171,Janina,Czepiel,K,08272350614,Wrocław,ul. Partyzancka 51/51,False,48207441931,czepiel87839@o2.pl
172,Nikodem,Bloszczyk,M,72121569676,Wrocław,ul. Ignacego Krasińskiego 94,False,48054296759,bloszczyk3@outlook.com
173,Olga,Oleśkiewicz,K,93081421370,Pruszcz Gdański,ul. Wczasowa 58/33,False,48023837878,oleskiewicz9@gmail.com
174,Wiktoria,Kochanka,K,08322744017,Choszczno,ul. Wiewiórcza 87,False,48671691209,wik_k2008@o2.pl
175,Daniel,Książek,M,97063087592,Poznań,ul. Wrzosowa 62/15,False,48609382815,dan.ksiaze1997@wp.pl
176,Tomasz,Burlewicz,M,95013151793,Swarzędz,ul. Przechodnia 43/7,False,48917745678,burle-t@gmail.com
177,Ewa,Woszczyk,K,09272490832,Radomsko,ul. Rakowa 28,True,48738656117,e27033d676u6qe@opayq.com
178,Zbigniew,Siarczyński,M,84020815099,Kraków,ul. Malwowa 21/30,False,48271705610,zsiarczynski1984@interia.pl
179,Hanna,Bareła,K,92090441777,Wrocław,ul. Ignacego Kraszewskiego 47,True,48411102745,bar_hanna1992@interia.pl
180,Monika,Labus,K,90101297711,Wrocław,ul. Czarnej Jagody 64/1,True,48595892896,m_labus@gmail.com
181,Wiktoria,Ochocka,K,79071033172,Gorzów Wielkopolski,ul. gen. Stanisława Thiela 77,False,48725865799,d39ow923ef1uj98h8@wp.pl
182,Sławomir,Kolbus,M,81060900992,Janowiec Wielkopolski,ul. Graniczna 64/16,False,48329282899,w8pa814f9f802t5u@opayq.com
183,Katarzyna,Kwiatoń,K,09320934635,Wrocław,ul. Bałtycka 54/5,False,48296638367,k-kwi09@vp.pl
184,Jan,Beyl,M,92053180053,Łeba,ul. Pierwiosnków 48/39,False,48640274006,jbeyl8225@wp.pl
185,Maja,Derkach,K,86010416835,Wrocław,ul. Łąkowa 35/30,False,48655743314,derkach869@onet.pl
186,Kacper,Zalewski,M,95012226490,Wrocław,ul. Jana Poplińskiego 36/8,False,48090338113,zalewski19957@interia.pl
187,Barbara,Wiszniewska,K,96091735899,Wrocław,ul. Brzozowa 14,False,48616392406,qn7h6tb3kxzh2@opayq.com
188,Natan,Al-Khameri,M,70050747792,Ząbkowice Śląskie,ul. Na końcu tęczy 19/42,False,48544813925,nat-al-kh70@gmail.com
189,Sławomir,Schab,M,08320432372,Wrocław,ul. Lubczykowa 14,True,48523497238,nm4x5a6fw74ym3q@opayq.com
190,Kamila,Rubaj,K,71072853436,Zabrze,ul. Henrykowska 64/46,False,48941463394,x10up1s8ja20351@onet.pl
191,Klara,Toczyska,K,84020750655,Wrocław,ul. Ewangelicka 2/23,False,48306784991,osexh6921tund7@gmail.com
192,Janusz,Masłoń,M,87041125859,Wrocław,ul. Hiacyntowa 31/42,False,48258001393,maslon19879@gmail.com
193,Andrzej,Patryn,M,,Wrocław,ul. Kazimierza Tetmajera 35/26,False,48920311824,a_patryn72@gmail.com
194,Beata,Klaudel,K,02300387616,Wrocław,ul. Dworska 83/13,False,48329683009,en441zp2@opayq.com
195,Bożena,Oliinyk,K,80080770710,Wrocław,ul. Pogodna 70/48,False,48697620037,oliinyk9@gmail.com
196,Mariusz,Pepliński,M,95032941614,Wrocław,ul. Jaskółki 47/46,False,48302652922,peplinsk_mariusz@o2.pl
197,Jakub,Łyczakowski,M,90082565999,Wrocław,ul. Kościuszki 3/42,False,48022970762,lyczak-jakub@gmail.com
198,Michał,Franczak,M,77072568312,Wrocław,ul. Jabłoniowa 18,False,48442448156,m0k46l86b0jy6ne1l4@protonmail.com
199,Anna,Prabucka,K,99072351174,Wrocław,ul. Winogronowa 56/48,False,48193507944,a-prabucka@wp.pl
200,Gheorghe,Maliki,M,75060802170,Kędzierzyn-Koźle,ul. Szkolna 12/39,False,48182378982,m_gheo@interia.pl
201,Bartosz,Jaworski,M,79031558273,Wrocław,ul. Calineczki 33/35,False,48877417540,ib759ku35yl24tw@opayq.com
202,Anna,Ciesiółka,K,76081814173,Wrocław,ul. Juliusza Słowackiego 78/22,False,48498758199,g3rag@opayq.com
203,Władysław,Saik,M,81022079597,Sanok,ul. Marii Konopnickiej 83/25,False,48108829223,w_sai81@wp.pl
204,Teresa,Studencka,K,91020651893,Poznań,ul. Sosnowa 29/2,False,48756770475,orm90xd0c803a@o2.pl
205,Mykola,Nowak,M,99022019310,Wrocław,ul. Kazimierza Wielkiego 43,False,48879560137,nom@onet.pl
206,Kacper,Migaj,M,95091799733,Kielce,ul. Żwirki i Wigury 47/2,False,48338982498,p4xvmmqwu@opayq.com
207,Aleksandra,Piotrowska,K,84101073679,Wrocław,ul. Chabrowa 21/1,False,48692040735,wxh4r37gle4326z@opayq.com
208,Damian,Jastrząb,M,08261466979,Poznań,ul. Piaski Małe 86/7,False,48600593295,d_jas2008@wp.pl
209,Paulina,Bogdan,K,78022097812,Wrocław,ul. Kurska 93,False,48337786766,pbogdan@interia.pl
210,Maksym,Cytrowski,M,80052089213,Kielce,ul. Księżycowa 31/11,False,48694392123,mcytrow1980@wp.pl
211,Jacek,Piątek,M,08313078736,Wrocław,ul. Kazimierza Przerwy-Tetmajera 64/37,False,48512393099,piate_ja@gmail.com
212,Jadwiga,Podlasiak,K,89020214411,Wrocław,ul. Kwiatowa 50/24,False,48175183103,jad-podlas1989@wp.pl
213,Oleg,Kwiatkowski,M,02321232276,Wrocław,ul. Kolejowa 98/24,False,48390746141,ole_kwiatk@onet.pl
214,Oliwia,Lewczuk,K,71030583937,Szczecin,ul. Księdza Jerzego Popiełuszki 13,False,48999603505,lewczu-1971@gmail.com
215,Krzysztof,Wilk,M,95080526599,Wrocław,ul. Wyszkowska 19/15,True,48068759307,k-wil@wp.pl
216,Irena,Czechowska,K,90070616290,Wrocław,ul. Brzozowa 84/30,False,48475065843,i_cz1990@wp.pl
217,Michał,Sokołowski,M,88042970110,Wrocław,ul. Wesoła 96/37,False,48011441661,h96g0ie81@opayq.com
218,Mirosław,Ozimek,M,96040902156,Warszawa,ul. Franciszka Łukaszczyka 79/45,False,48440165278,m.ozime96@outlook.com
219,Anastasiia,Korzanowska,K,98092864699,Wrocław,ul. Ujsolska 26,False,48633050554,koranast1998@gmail.com
220,Paweł,Marciszewski,M,04280855077,Zgierz,ul. Świętego Walentego 20,False,48819073226,pmarcisze04@wp.pl
221,Ireneusz,Dudek,M,92041799034,Wrocław,ul. Generała Władysława Andersa 93/27,False,48152370442,i-dudek@gmail.com
222,Bartosz,Galak,M,,Zielona Góra,ul. Jaksy z Miechowa 44/46,False,48843717443,galak19882@gmail.com
223,Wojciech,Ryszczuk,M,70041343491,Wrocław,ul. Równa 84/31,False,48889350895,wry70@interia.pl
224,Katarzyna,Andrychowicz,K,77120427251,Zielona Góra,ul. Pszczela 28/12,False,48712594596,andrychowicz19773@protonmail.com
225,Irena,Legęza,K,82121232357,Włocławek,ul. Klonowa 29,False,48617596811,ehu04e5@opayq.com
